Locationabbr,Locationdesc,Question,Response,Sample_Size
ND,North Dakota,Adults with health problem(s) that requires the use of special equipment,Yes,677
ND,North Dakota,Adults with health problem(s) that requires the use of special equipment,No,"6,886"
OH,Ohio,What is your race/ethnicity?,Hispanic,166
ND,North Dakota,What is the highest grade or year of school you completed?,Less than H.S.,472
ND,North Dakota,What is the highest grade or year of school you completed?,H.S. or G.E.D.,"2,331"
ND,North Dakota,What is the highest grade or year of school you completed?,Some post-H.S.,"2,483"
ND,North Dakota,What is the highest grade or year of school you completed?,College+,"2,448"
ND,North Dakota,What is your employment status?,No work< yr,93
ND,North Dakota,What is your employment status?,No work >yr,66
ND,North Dakota,What is your employment status?,Student,136
ND,North Dakota,What is your employment status?,Retired,"2,224"
ND,North Dakota,What is your employment status?,Unable to work,295
ND,North Dakota,What is your employment status?,Employed,"3,414"
ND,North Dakota,What is your employment status?,Homemaker,507
ND,North Dakota,What is your employment status?,Self-employed,963
ND,North Dakota,What is your annual household income?,"Less than $15,000",459
ND,North Dakota,What is your annual household income?,"$15,000 - 24,999",887
ND,North Dakota,What is your annual household income?,"$25,000 - 34,999",703
ND,North Dakota,What is your annual household income?,"$35,000 -  49,999",996
ND,North Dakota,What is your annual household income?,"$50,000+","3,704"
ND,North Dakota,Have you used the internet in the past 30 days?,Yes,"5,895"
ND,North Dakota,Have you used the internet in the past 30 days?,No,"1,709"
ND,North Dakota,What is your marital status?,Married,"4,601"
ND,North Dakota,What is your marital status?,Divorced,848
ND,North Dakota,What is your marital status?,Widowed,"1,124"
ND,North Dakota,What is your marital status?,Separated,62
ND,North Dakota,What is your marital status?,Never married,951
ND,North Dakota,What is your marital status?,Partnered,140
ND,North Dakota,How many children live in your household? (variable calculated from one or more BRFSS questions),One child,662
ND,North Dakota,How many children live in your household? (variable calculated from one or more BRFSS questions),Five or more children,53
ND,North Dakota,How many children live in your household? (variable calculated from one or more BRFSS questions),Four children,135
ND,North Dakota,How many children live in your household? (variable calculated from one or more BRFSS questions),Three children,329
ND,North Dakota,How many children live in your household? (variable calculated from one or more BRFSS questions),Two children,596
ND,North Dakota,How many children live in your household? (variable calculated from one or more BRFSS questions),None,"5,969"
ND,North Dakota,What is your race/ethnicity?,White,"7,203"
ND,North Dakota,What is your race/ethnicity?,Black,34
ND,North Dakota,What is your race/ethnicity?,MultiRacial,52
ND,North Dakota,What is your race/ethnicity?,Other,286
ND,North Dakota,What is your race/ethnicity?,Hispanic,80
ND,North Dakota,Do you own or rent your home?,Own,"6,073"
ND,North Dakota,Do you own or rent your home?,Rent,"1,302"
ND,North Dakota,Do you own or rent your home?,Other,211
ND,North Dakota,Gender of respondent,Male,"3,255"
ND,North Dakota,Gender of respondent,Female,"4,531"
ND,North Dakota,Have you ever served on active duty in the United States Armed Forces?,Yes,982
ND,North Dakota,Have you ever served on active duty in the United States Armed Forces?,No,"6,792"
ND,North Dakota,Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?,Yes,373
ND,North Dakota,Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?,No,"7,395"
ND,North Dakota,Do you have any kind of health care coverage?,Yes,"7,326"
ND,North Dakota,Do you have any kind of health care coverage?,No,421
ND,North Dakota,About how long has it been since you last visited a doctor for a routine checkup?,Within the past year,"5,460"
ND,North Dakota,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 2 years,935
ND,North Dakota,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 5 years,644
ND,North Dakota,About how long has it been since you last visited a doctor for a routine checkup?,5 or more years ago,630
ND,North Dakota,About how long has it been since you last visited a doctor for a routine checkup?,Never,51
ND,North Dakota,Do you have one person you think of as your personal doctor or health care provider?,"Yes, only one","5,467"
ND,North Dakota,Do you have one person you think of as your personal doctor or health care provider?,More than one,722
ND,North Dakota,Do you have one person you think of as your personal doctor or health care provider?,No,"1,528"
ND,North Dakota,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,"4,519"
ND,North Dakota,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,378
ND,North Dakota,Health Status (variable calculated from one or more BRFSS questions),Good or Better Health,"6,558"
ND,North Dakota,Health Status (variable calculated from one or more BRFSS questions),Fair or Poor Health,"1,176"
ND,North Dakota,How is your general health?,Excellent,"1,243"
ND,North Dakota,How is your general health?,Very good,"2,781"
ND,North Dakota,How is your general health?,Good,"2,534"
ND,North Dakota,How is your general health?,Fair,898
ND,North Dakota,How is your general health?,Poor,278
ND,North Dakota,Have you ever been tested for HIV?,Yes,"1,282"
ND,North Dakota,Have you ever been tested for HIV?,No,"5,902"
ND,North Dakota,Adults aged 65+ who have had a flu shot within the past year (variable calculated from one or more BRFSS questions),Yes,"1,601"
ND,North Dakota,Adults aged 65+ who have had a flu shot within the past year (variable calculated from one or more BRFSS questions),No,"1,060"
ND,North Dakota,Adults aged 65+ who have ever had a pneumonia vaccination (variable calculated from one or more BRFSS questions),Yes,"1,840"
ND,North Dakota,Adults aged 65+ who have ever had a pneumonia vaccination (variable calculated from one or more BRFSS questions),No,726
OH,Ohio,Gender of respondent,Male,"4,308"
ND,North Dakota,Have you ever had the shingles or zoster vaccine?,Yes,"1,676"
ND,North Dakota,Have you ever had the shingles or zoster vaccine?,No,"3,479"
ND,North Dakota,Respondents who have reported having driven after drinking too much (variable calculated from one or more BRFSS questions),Have driven after having too much to drink,176
ND,North Dakota,Respondents who have reported having driven after drinking too much (variable calculated from one or more BRFSS questions),Have not driven after having too much to drink,"4,121"
ND,North Dakota,Always wears a seat belt? (variable calculated from one or more BRFSS questions),Always Wears a Seatbelt,"5,258"
ND,North Dakota,Always wears a seat belt? (variable calculated from one or more BRFSS questions),Does Not Always Wear a Seatbelt,"2,183"
ND,North Dakota,Adults aged 65+ who have had all their natural teeth extracted (variable calculated from one or more BRFSS questions),Yes,350
ND,North Dakota,Adults aged 65+ who have had all their natural teeth extracted (variable calculated from one or more BRFSS questions),No,"2,317"
ND,North Dakota,"Do you currently use chewing tobacco, snuff, or snus?",Every day,232
ND,North Dakota,Visited the dentist or dental clinic within the past year for any reason (variable calculated from one or more BRFSS questions),Yes,"5,374"
ND,North Dakota,Visited the dentist or dental clinic within the past year for any reason (variable calculated from one or more BRFSS questions),No,"2,371"
ND,North Dakota,"Do you currently use chewing tobacco, snuff, or snus?",Some days,130
ND,North Dakota,Adults that have had any permanent teeth extracted (variable calculated from one or more BRFSS questions),Yes,"4,052"
ND,North Dakota,Adults that have had any permanent teeth extracted (variable calculated from one or more BRFSS questions),No,"3,565"
ND,North Dakota,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Obese (BMI 30.0 - 99.8),"2,341"
ND,North Dakota,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Overweight (BMI 25.0-29.9),"2,771"
ND,North Dakota,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Normal Weight (BMI 18.5-24.9),"2,070"
ND,North Dakota,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Underweight (BMI 12.0-18.4),87
ND,North Dakota,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",Yes,"5,940"
ND,North Dakota,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",No,"1,824"
ND,North Dakota,Men aged 40+ who have had a PSA test within the past two years (variable calculated from one or more BRFSS questions),Yes,"1,112"
ND,North Dakota,Men aged 40+ who have had a PSA test within the past two years (variable calculated from one or more BRFSS questions),No,"1,211"
OH,Ohio,Ever told you have COPD?,Yes,"1,207"
ND,North Dakota,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,"1,163"
ND,North Dakota,Adults who are current smokers (variable calculated from one or more BRFSS questions),No,"6,336"
ND,North Dakota,"Do you currently use chewing tobacco, snuff, or snus?",Not at all,"7,125"
ND,North Dakota,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Smoke everyday,839
ND,North Dakota,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Smoke some days,324
ND,North Dakota,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Former smoker,"2,166"
ND,North Dakota,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Never smoked,"4,170"
ND,North Dakota,Women aged 50-74 who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),Received a mammogram within the past 2 years,"1,720"
ND,North Dakota,Women aged 50-74 who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),Did not receive a mammogram within the past 2 years,498
ND,North Dakota,Women aged 50+ who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),Yes,"2,289"
ND,North Dakota,Women aged 50+ who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),No,765
ND,North Dakota,Women aged 40+ who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),Yes,"2,596"
ND,North Dakota,Women aged 40+ who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),No,944
ND,North Dakota,Women aged 18+ who have had a pap test within the past three years (variable calculated from one or more BRFSS questions),Yes,"2,077"
OH,Ohio,Ever told you have COPD?,No,"9,671"
ND,North Dakota,Women aged 18+ who have had a pap test within the past three years (variable calculated from one or more BRFSS questions),No,787
ND,North Dakota,Women aged 21-65 who have had a pap test in the past three years (variable calculated from one or more BRFSS questions),Received a Pap test within the past 3 years,"1,610"
ND,North Dakota,Women aged 21-65 who have had a pap test in the past three years (variable calculated from one or more BRFSS questions),Did not receive a Pap test within the past 3 years,349
OH,Ohio,Gender of respondent,Female,"6,625"
OH,Ohio,Adults who have had at least one drink of alcohol within the past 30 days,Yes,"4,906"
OH,Ohio,Adults who have had at least one drink of alcohol within the past 30 days,No,"5,674"
OH,Ohio,"Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)",Yes,"1,221"
OH,Ohio,"Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)",No,"9,278"
OH,Ohio,Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,503
OH,Ohio,Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),No,"9,984"
OK,Oklahoma,Gender of respondent,Female,"5,010"
OH,Ohio,Adults who have been told they have arthritis (variable calculated from one or more BRFSS questions),Yes,"4,457"
OH,Ohio,Adults who have been told they have arthritis (variable calculated from one or more BRFSS questions),No,"6,431"
OH,Ohio,Adults who have been told they currently have asthma (variable calculated from one or more BRFSS questions),Yes,"1,099"
OH,Ohio,Adults who have been told they currently have asthma (variable calculated from one or more BRFSS questions),No,"9,731"
OH,Ohio,Adults who have ever been told they have asthma (variable calculated from one or more BRFSS questions),Yes,"1,473"
OH,Ohio,Adults who have ever been told they have asthma (variable calculated from one or more BRFSS questions),No,"9,411"
OH,Ohio,Ever told you had angina or coronary heart disease?,Yes,839
OH,Ohio,Ever told you had angina or coronary heart disease?,No,"9,968"
OH,Ohio,Ever told you had a heart attack (myocardial infarction)?,Yes,807
OH,Ohio,Ever told you had a heart attack (myocardial infarction)?,No,"10,072"
OH,Ohio,Ever told you had a stroke?,Yes,570
OH,Ohio,Ever told you had a stroke?,No,"10,310"
OH,Ohio,Ever told you that you have a form of depression?,Yes,"2,289"
OH,Ohio,Ever told you that you have a form of depression?,No,"8,604"
OH,Ohio,Have you ever been told by a doctor that you have diabetes?,Yes,"1,751"
OH,Ohio,Have you ever been told by a doctor that you have diabetes?,"Yes, pregnancy-related",119
OH,Ohio,Have you ever been told by a doctor that you have diabetes?,"No, pre-diabetes or borderline diabetes",195
OH,Ohio,Have you ever been told by a doctor that you have diabetes?,No,"8,849"
OH,Ohio,Ever told you have kidney disease?,Yes,448
OH,Ohio,Ever told you have kidney disease?,No,"10,436"
OH,Ohio,Ever told you had any other types of cancer?,Yes,"1,063"
OH,Ohio,Ever told you had any other types of cancer?,No,"9,840"
OH,Ohio,Ever told you had skin cancer?,Yes,974
OH,Ohio,Ever told you had skin cancer?,No,"9,918"
OH,Ohio,Adults aged 50+ who have had a blood stool test within the past two years (variable calculated from one or more BRFSS questions),Yes,909
OH,Ohio,Adults aged 50+ who have had a blood stool test within the past two years (variable calculated from one or more BRFSS questions),No,"6,294"
OH,Ohio,Adults aged 50-75 who have had a blood stool test within the past year (variable calculated from one or more BRFSS questions),Had a blood stool test in the past year,454
OH,Ohio,Adults aged 50-75 who have had a blood stool test within the past year (variable calculated from one or more BRFSS questions),Have not had a blood stool test in the past year,"5,284"
OH,Ohio,Adults aged 50+ who have ever had a sigmoidoscopy or colonoscopy (variable calculated from one or more BRFSS questions),Yes,"5,082"
OH,Ohio,Adults aged 50+ who have ever had a sigmoidoscopy or colonoscopy (variable calculated from one or more BRFSS questions),No,"2,267"
OH,Ohio,Respondents aged 50-75 who have fully met the USPSTF recommendation (variable calculated from one or more BRFSS questions),Met USPSTF recommendations for testing,"3,812"
OH,Ohio,Respondents aged 50-75 who have fully met the USPSTF recommendation (variable calculated from one or more BRFSS questions),Did not meet USPSTF recommendations for testing,"1,841"
OH,Ohio,What is your age?,18-24 years,451
OH,Ohio,What is your age?,25-34 years,814
OH,Ohio,What is your age?,35-44 years,"1,163"
OH,Ohio,What is your age?,45-54 years,"1,807"
OH,Ohio,What is your age?,55-64 years,"2,706"
OH,Ohio,What is your age?,65+ years,"3,992"
OH,Ohio,"Are you blind or do you have serious difficulty seeing, even when wearing glasses?",Yes,590
OH,Ohio,"Are you blind or do you have serious difficulty seeing, even when wearing glasses?",No,"10,077"
OH,Ohio,"Do you have serious difficulty concentrating, remembering, or making decisions?",Yes,"1,228"
OH,Ohio,"Do you have serious difficulty concentrating, remembering, or making decisions?",No,"9,398"
OH,Ohio,Do you have difficulty doing errands alone?,Yes,948
OH,Ohio,Do you have difficulty doing errands alone?,No,"9,692"
OH,Ohio,Do you have difficulty dressing or bathing?,Yes,518
OH,Ohio,Do you have difficulty dressing or bathing?,No,"10,157"
OH,Ohio,Do you have serious difficulty walking or climbing stairs?,Yes,"2,120"
OH,Ohio,Do you have serious difficulty walking or climbing stairs?,No,"8,534"
OH,Ohio,"Adults who are limited in any activities because of physical, mental, or emotional problems",Yes,"2,832"
OH,Ohio,"Adults who are limited in any activities because of physical, mental, or emotional problems",No,"7,848"
OH,Ohio,Adults with health problem(s) that requires the use of special equipment,Yes,"1,442"
OH,Ohio,Adults with health problem(s) that requires the use of special equipment,No,"9,266"
OH,Ohio,What is the highest grade or year of school you completed?,Less than H.S.,842
OH,Ohio,What is the highest grade or year of school you completed?,H.S. or G.E.D.,"3,881"
OH,Ohio,What is the highest grade or year of school you completed?,Some post-H.S.,"2,736"
OH,Ohio,What is the highest grade or year of school you completed?,College+,"3,418"
OH,Ohio,What is your employment status?,No work< yr,222
OH,Ohio,What is your employment status?,No work >yr,252
OH,Ohio,What is your employment status?,Student,202
OH,Ohio,What is your employment status?,Retired,"3,482"
OH,Ohio,What is your employment status?,Unable to work,959
OH,Ohio,What is your employment status?,Employed,"4,295"
OH,Ohio,What is your employment status?,Homemaker,745
OH,Ohio,What is your employment status?,Self-employed,672
OH,Ohio,What is your annual household income?,"Less than $15,000","1,075"
OH,Ohio,What is your annual household income?,"$15,000 - 24,999","1,812"
OH,Ohio,What is your annual household income?,"$25,000 - 34,999","1,132"
OH,Ohio,What is your annual household income?,"$35,000 -  49,999","1,412"
OH,Ohio,What is your annual household income?,"$50,000+","3,826"
OH,Ohio,Have you used the internet in the past 30 days?,Yes,"7,982"
OH,Ohio,Have you used the internet in the past 30 days?,No,"2,784"
OH,Ohio,What is your marital status?,Married,"5,663"
OH,Ohio,What is your marital status?,Divorced,"1,565"
OH,Ohio,What is your marital status?,Widowed,"1,753"
OH,Ohio,What is your marital status?,Separated,179
OH,Ohio,What is your marital status?,Never married,"1,478"
OH,Ohio,What is your marital status?,Partnered,220
OH,Ohio,How many children live in your household? (variable calculated from one or more BRFSS questions),Five or more children,67
OH,Ohio,How many children live in your household? (variable calculated from one or more BRFSS questions),Four children,123
OH,Ohio,How many children live in your household? (variable calculated from one or more BRFSS questions),Three children,362
OH,Ohio,How many children live in your household? (variable calculated from one or more BRFSS questions),Two children,917
OH,Ohio,How many children live in your household? (variable calculated from one or more BRFSS questions),One child,"1,072"
OH,Ohio,How many children live in your household? (variable calculated from one or more BRFSS questions),None,"8,331"
OH,Ohio,Do you own or rent your home?,Own,"8,294"
OH,Ohio,Do you own or rent your home?,Rent,"2,107"
OH,Ohio,Do you own or rent your home?,Other,291
OH,Ohio,Have you ever served on active duty in the United States Armed Forces?,Yes,"1,289"
OH,Ohio,Have you ever served on active duty in the United States Armed Forces?,No,"9,629"
OH,Ohio,Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?,Yes,"1,137"
OH,Ohio,Was there a time in the past 12 months when you needed to see a doctor but could not because of cost?,No,"9,771"
OH,Ohio,Do you have any kind of health care coverage?,Yes,"10,170"
OH,Ohio,Do you have any kind of health care coverage?,No,720
OH,Ohio,About how long has it been since you last visited a doctor for a routine checkup?,Within the past year,"8,349"
OH,Ohio,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 2 years,"1,052"
OH,Ohio,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 5 years,593
OH,Ohio,About how long has it been since you last visited a doctor for a routine checkup?,5 or more years ago,697
OH,Ohio,About how long has it been since you last visited a doctor for a routine checkup?,Never,86
OH,Ohio,Do you have one person you think of as your personal doctor or health care provider?,"Yes, only one","8,887"
OH,Ohio,Do you have one person you think of as your personal doctor or health care provider?,More than one,682
OH,Ohio,Do you have one person you think of as your personal doctor or health care provider?,No,"1,312"
OH,Ohio,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),Yes,"6,153"
OH,Ohio,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,665
OH,Ohio,Health Status (variable calculated from one or more BRFSS questions),Good or Better Health,"8,613"
OH,Ohio,Health Status (variable calculated from one or more BRFSS questions),Fair or Poor Health,"2,294"
OH,Ohio,How is your general health?,Excellent,"1,689"
OH,Ohio,How is your general health?,Very good,"3,499"
OH,Ohio,How is your general health?,Good,"3,425"
OH,Ohio,How is your general health?,Fair,"1,643"
OH,Ohio,How is your general health?,Poor,651
OH,Ohio,Have you ever been tested for HIV?,Yes,"2,181"
OH,Ohio,Have you ever been tested for HIV?,No,"7,954"
OH,Ohio,Adults aged 65+ who have had a flu shot within the past year (variable calculated from one or more BRFSS questions),Yes,"2,217"
OH,Ohio,Adults aged 65+ who have had a flu shot within the past year (variable calculated from one or more BRFSS questions),No,"1,645"
OH,Ohio,Adults aged 65+ who have ever had a pneumonia vaccination (variable calculated from one or more BRFSS questions),Yes,"2,589"
OH,Ohio,Adults aged 65+ who have ever had a pneumonia vaccination (variable calculated from one or more BRFSS questions),No,"1,147"
OH,Ohio,Have you ever had the shingles or zoster vaccine?,Yes,"1,744"
OH,Ohio,Have you ever had the shingles or zoster vaccine?,No,"5,662"
OH,Ohio,Respondents who have reported having driven after drinking too much (variable calculated from one or more BRFSS questions),Have driven after having too much to drink,165
OH,Ohio,Respondents who have reported having driven after drinking too much (variable calculated from one or more BRFSS questions),Have not driven after having too much to drink,"4,744"
OH,Ohio,Always wears a seat belt? (variable calculated from one or more BRFSS questions),Always Wears a Seatbelt,"8,832"
OH,Ohio,Always wears a seat belt? (variable calculated from one or more BRFSS questions),Does Not Always Wear a Seatbelt,"1,751"
OH,Ohio,Adults aged 65+ who have had all their natural teeth extracted (variable calculated from one or more BRFSS questions),Yes,693
OH,Ohio,Adults aged 65+ who have had all their natural teeth extracted (variable calculated from one or more BRFSS questions),No,"3,075"
OH,Ohio,Visited the dentist or dental clinic within the past year for any reason (variable calculated from one or more BRFSS questions),Yes,"7,214"
OH,Ohio,Visited the dentist or dental clinic within the past year for any reason (variable calculated from one or more BRFSS questions),No,"3,598"
OH,Ohio,Adults that have had any permanent teeth extracted (variable calculated from one or more BRFSS questions),Yes,"5,959"
OH,Ohio,Adults that have had any permanent teeth extracted (variable calculated from one or more BRFSS questions),No,"4,643"
OH,Ohio,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Obese (BMI 30.0 - 99.8),"3,490"
OH,Ohio,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Overweight (BMI 25.0-29.9),"3,577"
OH,Ohio,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Normal Weight (BMI 18.5-24.9),"3,055"
OH,Ohio,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Underweight (BMI 12.0-18.4),191
OH,Ohio,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",Yes,"7,837"
OH,Ohio,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",No,"3,067"
OH,Ohio,Men aged 40+ who have had a PSA test within the past two years (variable calculated from one or more BRFSS questions),Yes,"1,543"
OH,Ohio,Men aged 40+ who have had a PSA test within the past two years (variable calculated from one or more BRFSS questions),No,"1,606"
OH,Ohio,Adults who are current smokers (variable calculated from one or more BRFSS questions),Yes,"1,834"
OH,Ohio,Adults who are current smokers (variable calculated from one or more BRFSS questions),No,"8,782"
OH,Ohio,"Do you currently use chewing tobacco, snuff, or snus?",Every day,214
OH,Ohio,"Do you currently use chewing tobacco, snuff, or snus?",Some days,140
OH,Ohio,"Do you currently use chewing tobacco, snuff, or snus?",Not at all,"10,308"
OH,Ohio,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Smoke everyday,"1,378"
OH,Ohio,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Smoke some days,456
OH,Ohio,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Former smoker,"2,911"
OH,Ohio,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Never smoked,"5,871"
OH,Ohio,Women aged 50-74 who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),Received a mammogram within the past 2 years,"2,604"
OH,Ohio,Women aged 50-74 who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),Did not receive a mammogram within the past 2 years,818
OH,Ohio,Women aged 50+ who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),Yes,"3,359"
OH,Ohio,Women aged 50+ who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),No,"1,211"
OH,Ohio,Women aged 40+ who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),Yes,"3,885"
OH,Ohio,Women aged 40+ who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),No,"1,476"
OH,Ohio,Women aged 18+ who have had a pap test within the past three years (variable calculated from one or more BRFSS questions),Yes,"3,029"
OH,Ohio,Women aged 18+ who have had a pap test within the past three years (variable calculated from one or more BRFSS questions),No,"1,208"
OH,Ohio,Women aged 21-65 who have had a pap test in the past three years (variable calculated from one or more BRFSS questions),Received a Pap test within the past 3 years,"2,348"
OH,Ohio,Women aged 21-65 who have had a pap test in the past three years (variable calculated from one or more BRFSS questions),Did not receive a Pap test within the past 3 years,595
OK,Oklahoma,Adults who have had at least one drink of alcohol within the past 30 days,Yes,"3,016"
OK,Oklahoma,Adults who have had at least one drink of alcohol within the past 30 days,No,"5,102"
OK,Oklahoma,"Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)",Yes,717
OK,Oklahoma,"Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)",No,"7,359"
OK,Oklahoma,Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,255
OK,Oklahoma,Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),No,"7,809"
OK,Oklahoma,Adults who have been told they have arthritis (variable calculated from one or more BRFSS questions),Yes,"3,130"
OK,Oklahoma,Adults who have been told they have arthritis (variable calculated from one or more BRFSS questions),No,"5,267"
OK,Oklahoma,Adults who have been told they currently have asthma (variable calculated from one or more BRFSS questions),Yes,849
OK,Oklahoma,Adults who have been told they currently have asthma (variable calculated from one or more BRFSS questions),No,"7,531"
OK,Oklahoma,Adults who have ever been told they have asthma (variable calculated from one or more BRFSS questions),Yes,"1,180"
OK,Oklahoma,Adults who have ever been told they have asthma (variable calculated from one or more BRFSS questions),No,"7,226"
OK,Oklahoma,Ever told you had angina or coronary heart disease?,Yes,640
OK,Oklahoma,Ever told you had angina or coronary heart disease?,No,"7,719"
OK,Oklahoma,Ever told you had a heart attack (myocardial infarction)?,Yes,606
OK,Oklahoma,Ever told you had a heart attack (myocardial infarction)?,No,"7,799"
OK,Oklahoma,Ever told you had a stroke?,Yes,424
OK,Oklahoma,Ever told you had a stroke?,No,"7,996"
OK,Oklahoma,Ever told you have COPD?,Yes,883
OK,Oklahoma,Ever told you have COPD?,No,"7,514"
OK,Oklahoma,Ever told you that you have a form of depression?,Yes,"1,874"
OK,Oklahoma,Ever told you that you have a form of depression?,No,"6,539"
OK,Oklahoma,Have you ever been told by a doctor that you have diabetes?,Yes,"1,322"
OK,Oklahoma,Have you ever been told by a doctor that you have diabetes?,"Yes, pregnancy-related",54
OK,Oklahoma,Have you ever been told by a doctor that you have diabetes?,"No, pre-diabetes or borderline diabetes",161
OK,Oklahoma,Have you ever been told by a doctor that you have diabetes?,No,"6,900"
OK,Oklahoma,Ever told you have kidney disease?,Yes,292
OK,Oklahoma,Ever told you have kidney disease?,No,"8,117"
OK,Oklahoma,Ever told you had any other types of cancer?,Yes,780
OK,Oklahoma,Ever told you had any other types of cancer?,No,"7,650"
OK,Oklahoma,Ever told you had skin cancer?,Yes,781
OK,Oklahoma,Ever told you had skin cancer?,No,"7,648"
OK,Oklahoma,Adults aged 50+ who have had a blood stool test within the past two years (variable calculated from one or more BRFSS questions),Yes,679
OK,Oklahoma,Adults aged 50+ who have had a blood stool test within the past two years (variable calculated from one or more BRFSS questions),No,"4,572"
OK,Oklahoma,Adults aged 50-75 who have had a blood stool test within the past year (variable calculated from one or more BRFSS questions),Had a blood stool test in the past year,365
OK,Oklahoma,Adults aged 50-75 who have had a blood stool test within the past year (variable calculated from one or more BRFSS questions),Have not had a blood stool test in the past year,"3,814"
OK,Oklahoma,What is your age?,45-54 years,"1,298"
OK,Oklahoma,What is your age?,55-64 years,"1,857"
OK,Oklahoma,Adults aged 50+ who have ever had a sigmoidoscopy or colonoscopy (variable calculated from one or more BRFSS questions),Yes,"3,475"
OK,Oklahoma,Adults aged 50+ who have ever had a sigmoidoscopy or colonoscopy (variable calculated from one or more BRFSS questions),No,"1,826"
OK,Oklahoma,What is your age?,65+ years,"3,026"
OK,Oklahoma,Respondents aged 50-75 who have fully met the USPSTF recommendation (variable calculated from one or more BRFSS questions),Met USPSTF recommendations for testing,"2,531"
OK,Oklahoma,Respondents aged 50-75 who have fully met the USPSTF recommendation (variable calculated from one or more BRFSS questions),Did not meet USPSTF recommendations for testing,"1,594"
OK,Oklahoma,What is your age?,18-24 years,446
OK,Oklahoma,What is your age?,25-34 years,835
OK,Oklahoma,What is your age?,35-44 years,986
OK,Oklahoma,"Are you blind or do you have serious difficulty seeing, even when wearing glasses?",Yes,522
OK,Oklahoma,"Are you blind or do you have serious difficulty seeing, even when wearing glasses?",No,"7,725"
OK,Oklahoma,"Do you have serious difficulty concentrating, remembering, or making decisions?",Yes,"1,056"
OK,Oklahoma,"Do you have serious difficulty concentrating, remembering, or making decisions?",No,"7,157"
OK,Oklahoma,Do you have difficulty doing errands alone?,Yes,858
OK,Oklahoma,Do you have difficulty doing errands alone?,No,"7,360"
